Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
Mastercard Inc Class A,MA,7/5/2022,4,Active,369,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,Yes,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,330.33,,,7/5/2022,B,A,B,0,309.58,4,,,,,61.25,258.3,498.15
Match Group Inc,MTCH,7/5/2022,4,Active,107,High,Exemplary,7/5/2022,Narrow,Stable,No,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,98.74,,,7/5/2022,D,,C,0,601.74,7,,,,,5.38,64.2,165.85
McCormick & Co Inc Registered Shs Non Vtg,MKC,7/5/2022,1,Active,63,Low,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Moderate,71.86,,,7/5/2022,C,C,B,0,553.34,5,,,,,78.43,50.4,78.75
McDonald's Corp,MCD,7/5/2022,3,Active,227,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Low,Moderate,232.09,,,7/5/2022,C,,A,0,409.62,3,,,,,61.43,158.9,306.45
McKesson Corp,MCK,7/5/2022,1,Active,235,Medium,Standard,7/5/2022,Narrow,Negative,No,No,No,No,Yes,7/5/2022,2,7/5/2022,Narrow,Overvalued,High,Strong,280.41,,,7/5/2022,B,,B,0,954.47,5,,,,,96.86,164.5,317.25
Medtronic PLC,MDT,7/5/2022,4,Active,129,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,118.89,,,7/5/2022,C,C,B,0,390.8,6,,,,,33.36,90.3,174.15
Merck & Co Inc,MRK,7/5/2022,3,Active,94,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Fairly Valued,Medium,Moderate,97.19,,,7/5/2022,C,A,B,0,306.76,2,,,,,70.82,65.8,126.9
Meta Platforms Inc Class A,META,7/5/2022,5,Active,384,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,No,7/5/2022,3,7/5/2022,Wide,Undervalued,Very High,Moderate,314.74,,,7/5/2022,B,A,B,0,157.73,8,,,,,5.85,230.4,595.2
MetLife Inc,MET,7/5/2022,3,Active,56,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,66.81,,,7/5/2022,C,C,C,0.02,,8,,,,,76.57,33.6,86.8
Mettler-Toledo International Inc,MTD,7/5/2022,1,Active,770,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Moderate,958.17,,,7/5/2022,C,A,B,0,336.45,6,,,,,33.19,539,"1,039.50"
MGM Resorts International,MGM,7/5/2022,4,Active,47,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,48.82,,,7/5/2022,D,D,C,0.02,612.28,7,,,,,43.92,28.2,72.85
Microchip Technology Inc,MCHP,7/5/2022,4,Active,83,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,76.41,,,7/5/2022,C,B,B,0,427.87,8,,,,,37.14,58.1,112.05
Micron Technology Inc,MU,7/5/2022,4,Active,90,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,95.09,,,7/5/2022,C,D,B,0,174.48,7,,,,,52.43,54,139.5
Microsoft Corp,MSFT,7/5/2022,4,Active,352,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,No,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,305.54,,,7/5/2022,B,A,A,0,223.2,5,,,,,49.26,246.4,475.2
Mid-America Apartment Communities Inc,MAA,,,,,,,12/6/2010,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,194.23,,,7/5/2022,C,C,B,0,541.97,5,,,,,55.48,,
Moderna Inc,MRNA,7/5/2022,4,Active,232,Very High,Standard,7/5/2022,None,Positive,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,244.26,,,7/5/2022,A,F,C,0.01,142.87,,,,,,1.91,116,406
Mohawk Industries Inc,MHK,,,,,,,4/14/2020,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,187.51,,,7/5/2022,C,D,C,0,335.86,8,,,,,16.83,,
Molina Healthcare Inc,MOH,,,,,,,8/14/2009,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Strong,291.93,,,7/5/2022,C,B,B,0,432.18,7,,,,,69.37,,
Molson Coors Beverage Co Shs -B- Non-Voting,TAP,7/5/2022,4,Active,69,Medium,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,65.49,,,7/5/2022,C,D,B,0,549.48,8,,,,,76.19,48.3,93.15
Mondelez International Inc Class A,MDLZ,7/5/2022,3,Active,63,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Low,Moderate,60.84,,,7/5/2022,C,C,A,0,478.1,7,,,,,66.58,44.1,85.05
Monolithic Power Systems Inc,MPWR,7/5/2022,4,Active,540,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,462.77,,,7/5/2022,B,C,B,0,,5,,,,,30.75,324,837
Monster Beverage Corp,MNST,7/5/2022,2,Active,82,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Strong,86.56,,,7/5/2022,B,A,B,0,,7,,,,,44.07,57.4,110.7
Moody's Corporation,MCO,7/5/2022,4,Active,350,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,323.48,,,7/5/2022,B,B,B,0,387.97,10,,,,,21.6,245,472.5
Morgan Stanley,MS,7/5/2022,4,Active,95,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,Yes,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,110.07,,,7/5/2022,B,C,C,0.01,,7,,,,,38.58,57,147.25
Motorola Solutions Inc,MSI,7/5/2022,3,Active,195,Medium,Standard,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,207.1,,,7/5/2022,C,,B,0,515.23,6,,,,,43.66,136.5,263.25
MSCI Inc,MSCI,7/5/2022,2,Active,375,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,419.94,,,7/5/2022,B,,B,0,445.43,9,,,,,12.93,262.5,506.25
Nasdaq Inc,NDAQ,7/5/2022,3,Active,161,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,176.4,,,7/5/2022,B,C,B,0,479.25,9,,,,,22.04,112.7,217.35
NetApp Inc,NTAP,7/1/2022,3,Active,60,,Standard,7/1/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,76.63,,,7/5/2022,C,A,B,0,352.88,7,,,,,33.08,36,93
Netflix Inc,NFLX,7/5/2022,4,Active,280,Very High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,Yes,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Moderate,324.19,,,7/5/2022,B,A,C,0.01,346.03,8,,,,,2.74,140,490
Newell Brands Inc,NWL,,,,,,,6/19/2012,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,24.68,,,7/5/2022,C,F,C,0,540,8,,,,,49.16,,
Newmont Corp,NEM,,,,,,,10/18/2021,None,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,74.35,,,7/5/2022,C,B,B,0,469,4,,,,,80.45,,
News Corp Class A,NWSA,7/5/2022,4,Active,20,High,Standard,7/6/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,22.31,,,7/5/2022,C,F,C,,487.68,7,,,,,31.77,12,31
News Corp Class B,NWS,7/5/2022,4,Active,20,High,Standard,7/6/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,22.77,,,7/5/2022,C,F,C,,487.68,7,,,,,35.08,12,31
NextEra Energy Inc,NEE,7/5/2022,3,Active,78,Medium,Exemplary,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,79.1,,,7/5/2022,C,D,B,0,672.94,9,,,,,46.17,54.6,105.3
Nielsen Holdings PLC,NLSN,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,25.37,,,7/5/2022,D,B,C,0,579.04,9,,,,,65.46,,
Nike Inc Class B,NKE,7/5/2022,4,Active,133,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,128.05,,,7/5/2022,C,A,B,0,,6,,,,,15.1,93.1,179.55
NiSource Inc,NI,7/5/2022,4,Active,31,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Moderate,28.78,,,7/5/2022,D,B,B,0,649.51,4,,,,,88.37,24.8,38.75
Nordson Corp,NDSN,7/5/2022,4,Active,235,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,219.48,,,7/5/2022,C,C,A,0,265.1,6,,,,,41.42,164.5,317.25
Norfolk Southern Corp,NSC,7/5/2022,3,Active,243,Medium,Standard,7/5/2022,Wide,Stable,Yes,Yes,No,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,248.14,,,7/5/2022,C,D,B,0,473.17,9,,,,,54.71,170.1,328.05
Northern Trust Corp,NTRS,7/5/2022,4,Active,108,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,127.87,,,7/5/2022,C,C,D,0.15,,8,,,,,51.08,75.6,145.8
Northrop Grumman Corp,NOC,7/5/2022,2,Active,363,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,445.02,,,7/5/2022,B,A,B,0,344.38,5,,,,,84.31,254.1,490.05
NortonLifeLock Inc,NLOK,7/5/2022,3,Active,24,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,24.99,,,7/5/2022,C,,B,0,596.34,6,,,,,60.05,14.4,37.2
Norwegian Cruise Line Holdings Ltd,NCLH,7/5/2022,5,Active,29,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Weak,29.52,,,7/5/2022,F,F,D,0.17,953.44,10,,,,,14.37,17.4,44.95
NRG Energy Inc,NRG,7/5/2022,3,Active,36,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,40.39,,,7/5/2022,A,,D,0.09,357.33,10,,,,,47.43,21.6,55.8
Nucor Corp,NUE,,,,,,,1/26/2021,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,150.12,,,7/5/2022,B,B,C,0,167.37,8,,,,,78.63,,
NVIDIA Corp,NVDA,7/5/2022,4,Active,200,High,Exemplary,7/5/2022,Wide,Positive,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,202.7,,,7/5/2022,B,C,B,0,164.06,8,,,,,45.66,120,310
NVR Inc,NVR,,,,,,,4/14/2020,None,,,,,,,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,"4,894.54",,,7/5/2022,C,C,B,0,200.29,5,,,,,36.04,,
NXP Semiconductors NV,NXPI,7/5/2022,5,Active,240,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,206,,,7/5/2022,C,C,C,0,394.57,7,,,,,,168,324
Occidental Petroleum Corp,OXY,7/5/2022,2,Active,44,Very High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,2,7/5/2022,None,Overvalued,High,Moderate,54.35,,,7/5/2022,C,F,C,0,412.37,9,,,,,99.56,22,77
Old Dominion Freight Line Inc Ordinary Shares,ODFL,7/5/2022,2,Active,195,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,247.39,,,7/5/2022,B,C,A,0,138.82,5,,,,,42.37,136.5,263.25
Omnicom Group Inc,OMC,7/5/2022,4,Active,90,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,83.41,,,7/5/2022,C,C,C,0,475.68,6,,,,,73.33,54,139.5
ON Semiconductor Corp,ON,7/5/2022,4,Active,67,High,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,65.38,,,7/5/2022,C,D,C,0,254.36,9,,,,,75.51,40.2,103.85
ONEOK Inc,OKE,7/5/2022,3,Active,56,Medium,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,59.96,,,7/5/2022,D,C,B,0,603.62,8,,,,,80.71,39.2,75.6
Oracle Corp,ORCL,7/5/2022,3,Active,67,Medium,Poor,7/5/2022,Narrow,Negative,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,80.42,,,7/5/2022,B,,B,0,535.96,4,,,,,27.01,46.9,90.45
O'Reilly Automotive Inc,ORLY,7/5/2022,3,Active,580,Medium,Exemplary,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,618.2,,,7/5/2022,B,A,B,0,382.39,6,,,,,64.11,406,783
Organon & Co Ordinary Shares,OGN,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,37.81,,,7/5/2022,D,A,C,0,516.68,,,,,,72.15,,
Otis Worldwide Corp Ordinary Shares,OTIS,7/5/2022,3,Active,73,Low,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,74.29,,,7/5/2022,C,,B,0,,,,,,,38.1,58.4,91.25
PACCAR Inc,PCAR,7/5/2022,4,Active,104,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,92.33,,,7/5/2022,C,D,B,0,325.56,5,,,,,71.13,72.8,140.4
Packaging Corp of America,PKG,,,,,,,10/18/2021,None,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,147.14,,,7/5/2022,C,C,B,0,311.12,5,,,,,72.07,,
Paramount Global Class B,PARA,7/5/2022,5,Active,58,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Moderate,47.07,,,7/5/2022,C,D,C,0.02,437.58,9,,,,,34.71,34.8,89.9
Parker Hannifin Corp,PH,7/5/2022,4,Active,325,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,297.69,,,7/5/2022,C,C,B,0,398.33,9,,,,,47.66,227.5,438.75
Paychex Inc,PAYX,7/5/2022,3,Active,115,High,Exemplary,7/5/2022,Wide,Positive,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Strong,111.37,,,7/5/2022,C,C,B,0,283.24,6,,,,,63.87,69,178.25
Paycom Software Inc,PAYC,7/5/2022,4,Active,388,High,Exemplary,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,363.84,,,7/5/2022,B,D,C,0,311.19,7,,,,,7.8,232.8,601.4
PayPal Holdings Inc,PYPL,7/5/2022,5,Active,135,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,130.78,,,7/5/2022,B,C,C,0.01,414.11,7,,,,,1.26,81,209.25
Penn National Gaming Inc,PENN,,,,,,,2/17/2012,None,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,Extreme,Moderate,71.39,,,7/5/2022,C,D,D,0.11,701.01,8,,,,,4.07,,
Pentair PLC,PNR,7/5/2022,5,Active,68,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,65.74,,,7/5/2022,C,B,B,0,280.42,8,,,,,9.42,47.6,91.8
PepsiCo Inc,PEP,7/5/2022,3,Active,164,Low,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Overvalued,Low,Strong,159.91,,,7/5/2022,C,B,A,0,453.92,6,,,,,70.56,131.2,205
PerkinElmer Inc,PKI,7/5/2022,3,Active,144,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,159.63,,,7/5/2022,B,C,B,0,402.18,7,,,,,31.86,100.8,194.4
Pfizer Inc,PFE,7/5/2022,3,Active,48,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,54.3,,,7/5/2022,B,C,B,0,275.43,8,,,,,74.62,33.6,64.8
Philip Morris International Inc,PM,7/5/2022,3,Active,103,Medium,Exemplary,7/5/2022,Wide,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,102.02,,,7/5/2022,C,,B,0,,5,,,,,66.9,72.1,139.05
Phillips 66,PSX,7/5/2022,3,Active,96,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,90.28,,,7/5/2022,C,D,C,0,498.95,9,,,,,88.98,57.6,148.8
Pinnacle West Capital Corp,PNW,7/5/2022,4,Active,77,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,77.07,,,7/5/2022,C,C,B,0,625.67,9,,,,,61.54,61.6,96.25
Pioneer Natural Resources Co,PXD,7/5/2022,3,Active,206,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,218.76,,,7/5/2022,B,C,B,0,243.97,8,,,,,97.64,144.2,278.1
PNC Financial Services Group Inc,PNC,7/5/2022,4,Active,185,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,218.19,,,7/5/2022,C,C,C,0,,8,,,,,49.3,129.5,249.75
Pool Corp,POOL,,,,,,,4/1/2003,None,,,,,,,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,416.13,,,7/5/2022,B,B,B,0,239.48,6,,,,,25.36,,
PPG Industries Inc,PPG,7/5/2022,3,Active,112,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,134.84,,,7/5/2022,C,C,B,0,463.23,7,,,,,24.18,78.4,151.2
PPL Corp,PPL,7/5/2022,3,Active,27,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,27.29,,,7/5/2022,D,D,B,0,633.32,10,,,,,56.63,21.6,33.75
Principal Financial Group Inc,PFG,,,,,,,4/11/2016,Narrow,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,71.26,,,7/5/2022,C,D,D,0.07,,10,,,,,71.04,,
Procter & Gamble Co,PG,7/5/2022,2,Active,124,Low,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Low,Strong,130.39,,,7/5/2022,C,C,A,0,361.96,4,,,,,72.32,99.2,155
Progressive Corp,PGR,7/5/2022,2,Active,86,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Strong,101.97,,,7/5/2022,B,A,B,0,,3,,,,,85.15,60.2,116.1
Prologis Inc,PLD,7/5/2022,4,Active,143,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,146.16,,,7/5/2022,C,D,B,0,341.56,6,,,,,65.85,85.8,221.65
Prudential Financial Inc,PRU,7/5/2022,3,Active,97,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,114.13,,,7/5/2022,C,D,D,0.24,,10,,,,,67.91,58.2,150.35
PTC Inc,PTC,7/5/2022,3,Active,105,Medium,Standard,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,106.83,,,7/5/2022,B,B,B,0,363.94,7,,,,,37.91,73.5,141.75
Public Service Enterprise Group Inc,PEG,7/5/2022,3,Active,64,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Moderate,60.71,,,7/5/2022,C,D,B,0,872.75,8,,,,,70.19,51.2,80
Public Storage,PSA,7/5/2022,3,Active,340,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,Medium,Moderate,329.31,,,7/5/2022,C,A,A,0,250.56,2,,,,,76.11,204,527
PulteGroup Inc,PHM,,,,,,,4/14/2020,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,62.14,,,7/5/2022,B,B,C,0,178.97,5,,,,,32.63,,
PVH Corp,PVH,7/5/2022,5,Active,131,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,118.4,,,7/5/2022,C,D,C,0.03,388.56,10,,,,,14.05,78.6,203.05
Qorvo Inc,QRVO,7/5/2022,5,Active,169,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,160.31,,,7/5/2022,B,B,B,0,224.47,5,,,,,8.24,101.4,261.95
Qualcomm Inc,QCOM,7/5/2022,4,Active,163,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,163.2,,,7/5/2022,B,A,B,0,282.63,5,,,,,59.21,97.8,252.65
Quanta Services Inc,PWR,7/5/2022,2,Active,102,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,High,Moderate,125.58,,,7/5/2022,C,C,B,0,469.18,6,,,,,70.12,61.2,158.1
Quest Diagnostics Inc,DGX,7/5/2022,3,Active,143,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,145.47,,,7/5/2022,D,B,B,0,302.87,6,,,,,38.26,100.1,193.05
Ralph Lauren Corp Class A,RL,7/5/2022,4,Active,122,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,124.04,,,7/5/2022,C,C,C,0,401.87,9,,,,,45.06,73.2,189.1
Raymond James Financial Inc,RJF,7/5/2022,3,Active,99,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,113.29,,,7/5/2022,B,C,C,0.02,,7,,,,,73.54,59.4,153.45
Raytheon Technologies Corp,RTX,7/5/2022,3,Active,94,High,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,96.78,,,7/5/2022,D,D,B,0,556.49,7,,,,,77.42,56.4,145.7
Realty Income Corp,O,7/5/2022,4,Active,76,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,75.05,,,7/5/2022,C,D,C,0,624.92,4,,,,,60.11,53.2,102.6
Regency Centers Corp,REG,7/5/2022,4,Active,75,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,69.48,,,6/30/2022,C,C,,,505.89,5,,,,,57.11,52.5,101.25
Regeneron Pharmaceuticals Inc,REGN,7/5/2022,3,Active,620,Medium,Standard,7/5/2022,Narrow,Positive,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Strong,658.8,,,7/5/2022,A,A,A,0,104.37,4,,,,,59.64,434,837
Regions Financial Corp,RF,7/5/2022,3,Active,21,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Strong,24.07,,,7/5/2022,C,C,C,0.04,,9,,,,,67.02,14.7,28.35
Republic Services Inc,RSG,7/5/2022,2,Active,101,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Moderate,113.47,,,7/5/2022,C,C,B,0,524,6,,,,,61.33,70.7,136.35
ResMed Inc,RMD,7/5/2022,4,Active,250,Medium,Exemplary,7/6/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Strong,224.76,,,7/5/2022,B,C,A,,271.75,6,,,,,23.78,175,337.5
