Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
Royal Caribbean Group,RCL,884887,"New York Stock Exchange, Inc.",United States,United States,Royal Caribbean Group,0C000008UP,0P000004QD,,LR0008862868,Travel Services,7/5/2022,36.3,"9,254.91",-0.57,,98.27,32.64,0.45,3/5/2020,0.78,"[1998-08-03]	1.000000	2.000000",2/21/2020,3/6/2020,4/6/2020,,,,,-57.33,-12.22,2.86,3/31/2022,-20.81,"2,549.35","-5,295.92",0,US Dollar,Yes,Yes,Consumer Cyclical,Deep Sea Freight Transportation;;,"WATER TRANSPORTATION OF PASSENGERS, N.E.C.",,,,,,Consumer Discretionary,Leisure,Leisure time,,Mid Blend,,"Jaime M. Katz, CFA",5/13/2022,Common Stock,,4/27/1993,,,,,,,,,,,,,,,,,,No
S&P Global Inc,SPGI,64040,"New York Stock Exchange, Inc.",United States,United States,S&P Global Inc,0C000008A8,0P000003IL,,,Financial Data & Stock Exchanges,7/5/2022,344.32,"117,034.37",0.04,24.32,484.21,311.87,0.84,8/25/2022,0.85,"[1983-06-02]	1.000000	2.000000;[1996-04-29]	1.000000	2.000000;[1999-03-09]	1.000000	2.000000;[2005-05-18]	1.000000	2.000000;",6/22/2022,8/26/2022,9/12/2022,,0.92,,0.99,4.03,3.59,0.29,3/31/2022,13.86,"8,670.00","3,504.00",3.08,US Dollar,Yes,Yes,Financial Services,;;;;;Securities and Commodity Exchanges;;;;,;;;;CREDIT REPORTING SERVICES;;;,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Large Growth,Cyclical,"Rajiv Bhatia, CFA",5/3/2022,Common Stock,,2/14/1929,,,,,,,,,,,,,,,,,,No
Salesforce Inc,CRM,1108524,"New York Stock Exchange, Inc.",United States,United States,Salesforce Inc,0C000008W0,0P000004T1,,,Software - Application,7/5/2022,172.2,"171,339.00",0.01,163.41,311.75,154.55,0.56,,,"[2013-04-18]	1.000000	4.000000",,,,,,,,0.59,2.76,2.38,4/30/2022,1.01,"27,940.00","1,003.00",,US Dollar,Yes,Yes,Technology,;Software Publishers;,PREPACKAGED SOFTWARE,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,"Dan Romanoff, CPA",5/31/2022,Common Stock,,6/23/2004,,,,,,,,,,,,,,,,,,No
SBA Communications Corp,SBAC,1034054,Nasdaq - All Markets,United States,United States,SBA Communications Corp,0C000008X9,0P000004R6,,,REIT - Specialty,7/5/2022,324.71,"35,013.17",0.01,80.62,391.15,286.41,1.33,5/18/2022,0.71,,4/25/2022,5/19/2022,6/14/2022,,0.79,,0.79,1.22,1.27,-1.74,3/31/2022,3.97,"2,379.87",437.99,2.45,US Dollar,Yes,Yes,Real Estate,;;;Other Activities Related to Real Estate;;,;;;REAL ESTATE INVESTMENT TRUSTS;;,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Infrastructure,,Large Growth,Hard Assets,"Matthew Dolgin, CFA",4/25/2022,Common Stock,5/11/2012,6/16/1999,,,,,,,,,,,,,,,,,,No
Schlumberger Ltd,SLB,87347,"New York Stock Exchange, Inc.",United States,United States,Schlumberger Ltd,0C000008XO,0P000004UK,,AN8068571086,Oil & Gas Equipment & Services,7/5/2022,33.33,"47,110.65",0.04,24.33,49.83,25.9,0.68,5/31/2022,0.18,"[1972-10-25]	1.000000	3.000000;[1975-04-17]	2.000000	3.000000;[1977-01-18]	2.000000	3.000000;[1979-04-17]	2.000000	3.000000;[1980-10-15]	2.000000	3.000000;[1981-07-16]	2.000000	3.000000;[1997-07-14]	1.000000	2.000000;[2006-04-10]	1.000000	2.000000;",4/21/2022,6/1/2022,7/14/2022,,1.65,,2.1,4.41,5.61,-6.51,3/31/2022,1.47,"23,668.00","2,092.00",0.5,US Dollar,Yes,Yes,Energy,Support Activities for Oil and Gas Operations,OIL & GAS FIELD EXPLORATION SERVICES;;,,,,,,Energy,Energy Equipment & Services,Oil well equipment and services,,Large Blend,,Preston Caldwell,11/3/2021,Common Stock,,2/2/1962,,,,,,,,,,,,,,,,,,No
Seagate Technology Holdings PLC,STX,1137789,Nasdaq - All Markets,United States,Singapore,Seagate Technology Holdings PLC,0C000008YL,0P000004VE,,IE00BKVD2N49,Computer Hardware,7/5/2022,71.31,"15,320.52",0.11,8.82,117.67,67.36,0.89,6/23/2022,0.7,,4/27/2022,6/24/2022,7/7/2022,,3.88,,3.93,11.36,12.86,3.21,3/31/2022,8.1,"12,046.00","1,855.00",2.74,US Dollar,Yes,Yes,Technology,,,,,,,,Technology,Information Technology,Computer technology,,Large Value,,William Kerwin,1/26/2022,Common Stock,5/11/2012,12/11/2002,,,,,,,,,,,,,,,,,,No
Sealed Air Corp,SEE,1012100,"New York Stock Exchange, Inc.",United States,United States,Sealed Air Corp,0C000008YM,0P000004VF,,,Packaging & Containers,7/5/2022,57.74,"8,434.91",0.06,16.31,70.73,53.87,,6/9/2022,0.2,"[1992-09-21]	1.000000	2.000000;[1995-10-02]	1.000000	2.000000;[2007-03-19]	1.000000	2.000000;",5/26/2022,6/10/2022,6/24/2022,,1.39,,1.39,6.13,6.97,-2.3,3/31/2022,3.61,"5,684.30",545.9,0.8,US Dollar,Yes,Yes,Consumer Cyclical,;;;;Packaging and Labeling Services;,"PACKAGING PAPER & PLASTICS FILM, COATED & LAMINATE;;;",,,,,,Materials & Processing,Industrial Materials & Processes,Containers and packaging,,Mid Blend,Cyclical,,2/9/2021,Common Stock,,5/31/1979,,,,,,,,,,,,,,,,,,No
Sempra Energy,SRE,1032208,"New York Stock Exchange, Inc.",United States,United States,Sempra Energy,0C000008ZC,0P000004W4,,,Utilities - Diversified,7/5/2022,146.99,"46,199.65",0.02,49.27,173.28,119.56,1.02,7/6/2022,1.15,"[1992-05-28]	1.000000	2.000000",5/12/2022,7/7/2022,7/15/2022,,3.02,,3.12,2.07,5.81,-4.28,3/31/2022,3.05,"13,418.00","1,046.00",4.45,US Dollar,Yes,Yes,Utilities,;;;;Natural Gas Distribution;;;;,;;;;;NATURAL GAS DISTRIBUTION;;;,,,,,,Utilities,Utilities,Utilities: Miscellaneous,,Large Blend,Classic Growth,"Andrew Bischof, CFA, CPA",5/18/2022,Common Stock,,6/29/1998,,,,,,,,,,,,,,,,,,No
ServiceNow Inc,NOW,1373715,"New York Stock Exchange, Inc.",United States,United States,ServiceNow Inc,0C00009AMS,0P0000WDY1,,,Software - Application,7/5/2022,495.93,"99,414.07",0,436.26,707.6,406.47,0.71,,,,,,,,,,,0.22,1.47,2.39,3/31/2022,1.09,"6,258.00",223,,US Dollar,Yes,Yes,Technology,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers;;,PREPACKAGED SOFTWARE;;;,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Speculative Growth,"Dan Romanoff, CPA",1/26/2022,Common Stock,,6/29/2012,18,,,,,,,,,,,,,,,,,No
Sherwin-Williams Co,SHW,89800,"New York Stock Exchange, Inc.",United States,United States,Sherwin-Williams Co,0C0000090G,0P000004X6,,,Specialty Chemicals,7/5/2022,242.23,"63,011.61",0.03,32.55,354.15,214.22,1.23,5/19/2022,0.6,"[1981-03-31]	1.000000	2.000000;[1983-03-31]	1.000000	2.000000;[1986-04-01]	1.000000	2.000000;[1991-04-01]	1.000000	2.000000;[1997-03-31]	1.000000	2.000000;",4/20/2022,5/20/2022,6/3/2022,,0.95,,0.99,2.84,3.88,2.98,3/31/2022,6.88,"20,287.30","1,825.60",2.25,US Dollar,Yes,Yes,Basic Materials,Paint and Coating Manufacturing;;;,"PAINTS, VARNISHES, LACQUERS, & ALLIED PRODUCTS;;;;",,,,,,Materials & Processing,Industrial Materials & Processes,Paints and coatings,,Large Blend,Cyclical,Spencer Liberman,4/26/2022,Common Stock,,2/11/1964,,,,,,,,,,,,,,,,,,No
Signature Bank,SBNY,1288784,Nasdaq - All Markets,United States,United States,Signature Bank,0C0000091A,0P000004Y1,,,Banks - Regional,7/5/2022,189.44,"11,921.09",0.09,10.49,374.76,165.36,,4/28/2022,0.56,,4/19/2022,4/29/2022,5/13/2022,,1.18,,1.18,9.02,11.97,2.89,3/31/2022,17.09,"2,170.17","1,066.44",2.24,US Dollar,Yes,Yes,Financial Services,Commercial Banking;;,STATE COMMERCIAL BANKS;;,,,,,,Financial Services,Banks,Banks: Diversified,,Mid Blend,Cyclical,,,Common Stock,5/11/2012,3/23/2004,,,,,,,,,,,,,,,,,,No
Simon Property Group Inc,SPG,1063761,"New York Stock Exchange, Inc.",United States,United States,Simon Property Group Inc,0C0000091V,0P000004YN,,,REIT - Retail,7/5/2022,97.57,"32,066.05",0.07,14,171.12,93.2,0.61,6/8/2022,1.7,,5/9/2022,6/9/2022,6/30/2022,,6.66,,6.97,6.95,6.16,1.98,3/31/2022,6.78,"5,172.76","2,230.40",7.5,US Dollar,Yes,Yes,Real Estate,Lessors of Nonresidential Buildings (except Miniwarehouses),REAL ESTATE INVESTMENT TRUSTS,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Retail,,Mid Blend,Hard Assets,"Kevin Brown, CFA",3/22/2022,Common Stock,,12/14/1993,,,,,,,,,,,,,,,,,,No
Skyworks Solutions Inc,SWKS,4127,Nasdaq - All Markets,United States,United States,Skyworks Solutions Inc,0C0000092S,0P000004ZF,,,Semiconductors,7/5/2022,93.85,"15,102.92",0.09,11.24,197.62,88.76,0.52,5/23/2022,0.56,"[1980-03-04]	2.000000	3.000000;[1982-12-14]	1.000000	2.000000;[1999-02-19]	2.000000	3.000000;[2000-04-20]	1.000000	2.000000;",5/3/2022,5/24/2022,6/14/2022,,2.39,,2.39,8.78,13.28,3,3/31/2022,8.24,"5,273.30","1,369.70",2.18,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing,;SEMICONDUCTORS & RELATED DEVICES;;,,,,,,Technology,Electronics,Semiconductors and components,,Mid Value,Cyclical,"Brian Colello, CPA",5/4/2022,Common Stock,5/11/2012,9/7/1984,,,,,,,,,,,,,,,,,,No
Snap-on Inc,SNA,91440,"New York Stock Exchange, Inc.",United States,United States,Snap-on Inc,0C0000093I,0P00000500,,,Tools & Accessories,7/5/2022,198.7,"10,605.46",0.08,12.78,235.36,190.08,1.08,5/19/2022,1.42,"[1972-06-19]	1.000000	3.000000;[1979-05-14]	1.000000	2.000000;[1986-07-28]	1.000000	2.000000;[1996-09-11]	2.000000	3.000000;",4/28/2022,5/20/2022,6/10/2022,,2.76,,2.86,7.76,7.81,0.23,3/31/2022,15.42,"4,674.00",845.3,5.3,US Dollar,Yes,Yes,Industrials,;Saw Blade and Handtool Manufacturing;;;;;;;,"HAND & EDGE TOOLS, EXCEPT MACHINE TOOLS & HANDSAWS;;;;;;;;",,,,,,Producer Durables,Machinery,Machinery: Tools,,Mid Blend,Cyclical,Dawit Woldemariam,4/21/2022,Common Stock,,2/27/1978,,,,,,,,,,,,,,,,,,No
SolarEdge Technologies Inc,SEDG,1419612,Nasdaq - All Markets,United States,United States,SolarEdge Technologies Inc,0C0000AV0Z,0P00015IBD,,,Solar,7/5/2022,271.27,"15,024.91",0.01,88,389.71,200.86,1.07,,,,,,,,,,,1.15,2.42,-1.82,3/31/2022,3.11,"2,213.46",172.22,,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing,SEMICONDUCTORS & RELATED DEVICES,,,,,,Energy,Energy Equipment & Services,Energy equipment,,Mid Growth,Classic Growth,Brett Castelli,5/3/2022,Common Stock,,3/26/2015,18,,,,,,,,,,,,,,,,,No
Southern Co,SO,92122,"New York Stock Exchange, Inc.",United States,United States,Southern Co,0C0000094V,0P0000051F,,,Utilities - Regulated Electric,7/5/2022,70.82,"75,248.00",0.03,33.17,77.24,60.76,1.09,5/13/2022,0.68,"[1994-03-01]	1.000000	2.000000",4/19/2022,5/16/2022,6/6/2022,,3.76,,3.84,3.04,5.03,-3.17,3/31/2022,2.15,"23,851.00","2,305.00",2.64,US Dollar,Yes,Yes,Utilities,;;;Electric Power Distribution;,;ELECTRIC & OTHER SERVICES COMBINED;,,,,,,Utilities,Utilities,Utilities: Electrical,,Large Value,Slow Growth,Travis Miller,5/2/2022,Common Stock,,10/4/1949,,,,,,,,,,,,,,,,,,No
Southwest Airlines Co,LUV,92380,"New York Stock Exchange, Inc.",United States,United States,Southwest Airlines Co,0C00000955,0P0000051R,,,Airlines,7/5/2022,36.51,"21,648.84",0.03,38.02,56.33,34.36,0.64,3/3/2020,0.18,"[1977-03-17]	4.000000	5.000000;[1978-03-27]	2.000000	3.000000;[1979-02-26]	2.000000	3.000000;[1980-09-23]	2.000000	3.000000;[1981-10-23]	4.000000	5.000000;[1983-01-24]	1.000000	2.000000;[1984-01-30]	4.000000	5.000000;[1990-08-30]	2.000000	3.000000;[1992-07-16]	1.000000	2.000000;[1993-07-16]	2.000000	3.000000;[1997-11-28]	2.000000	3.000000;[1998-08-21]	2.000000	3.000000;[1999-07-20]	2.000000	3.000000;[2001-02-16]	2.000000	3.000000;",1/29/2020,3/4/2020,3/25/2020,,,,,2.6,6.85,-0.6,3/31/2022,0.95,"18,432.00",583,0,US Dollar,Yes,Yes,Industrials,Scheduled Passenger Air Transportation,"AIR TRANSPORTATION, SCHEDULED",,,,,,Producer Durables,Transportation & Freight,Air transport,,Mid Growth,Cyclical,"Burkett Huey, CFA",4/29/2022,Common Stock,,6/27/1977,,,,,,,,,,,,,,,,,,No
Stanley Black & Decker Inc,SWK,93556,"New York Stock Exchange, Inc.",United States,United States,Stanley Black & Decker Inc,0C00000CCZ,0P0000053X,,,Tools & Accessories,7/5/2022,110.37,"16,661.97",0.07,13.41,210.92,99.43,,6/6/2022,0.79,"[1971-06-25]	1.000000	2.000000;[1978-10-03]	2.000000	3.000000;[1980-05-21]	1.000000	2.000000;[1986-09-29]	2.000000	3.000000;[1996-06-04]	1.000000	2.000000;",4/22/2022,6/7/2022,6/21/2022,,2.86,,2.86,7.09,9.05,2.87,3/31/2022,8.31,"16,344.40","1,377.10",3.07,US Dollar,Yes,Yes,Industrials,;;Cutting Tool and Machine Tool Accessory Manufacturing;;,";HAND & EDGE TOOLS, EXCEPT MACHINE TOOLS & HANDSAWS;;;;",,,,,,Producer Durables,Machinery,Machinery: Tools,,Mid Value,Cyclical,,,Common Stock,,6/15/1966,,,,,,,,,,,,,,,,,,No
Starbucks Corp,SBUX,829224,Nasdaq - All Markets,United States,United States,Starbucks Corp,0C00000CD6,0P00000546,,,Restaurants,7/5/2022,79.52,"91,201.49",0.05,20.43,126.32,68.39,0.8,8/11/2022,0.49,"[1993-09-30]	1.000000	2.000000;[1995-12-04]	1.000000	2.000000;[1999-03-22]	1.000000	2.000000;[2001-04-30]	1.000000	2.000000;[2005-10-24]	1.000000	2.000000;[2015-04-09]	1.000000	2.000000;",6/29/2022,8/12/2022,8/26/2022,,2.41,,2.46,4.7,4.47,0.33,3/31/2022,3.74,"31,329.10","4,408.10",1.88,US Dollar,Yes,Yes,Consumer Cyclical,;;;;;Snack and Nonalcoholic Beverage Bars;;,;RETAIL BAKERIES;;;;;,,,,,,Consumer Discretionary,Leisure,Restaurants,,Large Blend,Cyclical,Sean Dunlop,5/4/2022,Common Stock,5/11/2012,6/26/1992,,,,,,,,,,,,,,,,,,No
State Street Corporation,STT,93751,"New York Stock Exchange, Inc.",United States,United States,State Street Corporation,0C00000CDE,0P0000054E,,,Asset Management,7/5/2022,63.07,"23,153.96",0.12,8.34,104.87,60.54,0.69,6/30/2022,0.57,"[1982-05-20]	1.000000	2.000000;[1983-05-19]	1.000000	2.000000;[1985-08-16]	1.000000	2.000000;[1986-08-06]	1.000000	2.000000;[1992-05-14]	1.000000	2.000000;[1997-05-29]	1.000000	2.000000;[2001-05-31]	1.000000	2.000000;",5/18/2022,7/1/2022,7/11/2022,,3.62,,3.62,11.72,12.2,-0.49,3/31/2022,7.39,"11,087.00","2,778.00",2.23,US Dollar,Yes,Yes,Financial Services,;Investment Banking and Securities Dealing;,;INVESTMENT ADVICE;;,,,,,,Financial Services,Investment Banking & Brokerage,Asset management & custodian,,Mid Value,Cyclical,"Rajiv Bhatia, CFA",6/3/2022,Common Stock,,2/14/1995,,,,,,,,,,,,,,,,,,No
Steris PLC,STE,1757898,"New York Stock Exchange, Inc.",United States,United States,Steris PLC,0C00000CDZ,0P0000054Y,,IE00BFY8C754,Medical Devices,7/5/2022,208.73,"20,889.70",0.01,83.13,255.93,192.4,1.04,6/13/2022,0.43,"[1995-08-25]	1.000000	2.000000;[1998-08-25]	1.000000	2.000000;",5/4/2022,6/14/2022,6/28/2022,,0.82,,0.82,1.19,4.47,-1.06,3/31/2022,2.48,"4,585.06",243.89,1.69,US Dollar,Yes,Yes,Healthcare,Surgical Appliance and Supplies Manufacturing,";;MEDICAL, DENTAL, & HOSPITAL EQUIPMENT & SUPPLIES;",,,,,,Healthcare,Medical Equipment And Services,Medical & dental instruments & supplies,,Mid Growth,,Aaron Degagne,5/13/2022,Common Stock,,6/2/1992,,,,,,,,,,,,,,,,,,No
Stryker Corp,SYK,310764,"New York Stock Exchange, Inc.",United States,United States,Stryker Corp,0C00000CF4,0P00000563,,,Medical Devices,7/5/2022,202.02,"76,394.69",0.03,37.82,281.16,193.34,1.04,6/29/2022,0.7,"[1980-11-12]	2.000000	3.000000;[1982-11-15]	2.000000	3.000000;[1985-09-17]	2.000000	3.000000;[1987-06-12]	1.000000	2.000000;[1989-06-20]	2.000000	3.000000;[1991-06-14]	1.000000	2.000000;[1996-06-11]	1.000000	2.000000;[2000-05-15]	1.000000	2.000000;[2004-05-17]	1.000000	2.000000;",5/4/2022,6/30/2022,7/29/2022,,1.34,,1.38,2.6,4.8,-0.9,3/31/2022,5.26,"17,430.00","2,015.00",2.65,US Dollar,Yes,Yes,Healthcare,Surgical and Medical Instrument Manufacturing;;,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS;;,,,,,,Healthcare,Medical Equipment And Services,Medical & dental instruments & supplies,,Large Blend,Classic Growth,Debbie S. Wang,1/28/2022,Common Stock,,2/1/1988,,,,,,,,,,,,,,,,,,No
SVB Financial Group,SIVB,719739,Nasdaq - All Markets,United States,United States,SVB Financial Group,0C00000CH0,0P000004SH,,,Banks - Regional,7/5/2022,412.41,"24,270.81",0.07,13.55,763.22,374.99,,2/10/1992,0.01,"[1989-03-01]	2.000000	3.000000;[1990-05-16]	1.000000	2.000000;[1998-05-04]	1.000000	2.000000;[2000-05-16]	1.000000	2.000000;",1/1/1992,2/6/1992,,,,,,7.07,8.31,2.93,3/31/2022,29.14,"6,112.00","1,811.00",0,US Dollar,Yes,Yes,Financial Services,Commercial Banking;;,;STATE COMMERCIAL BANKS;;;;,,,,,,Financial Services,Banks,Banks: Diversified,,Mid Blend,Cyclical,,,Common Stock,5/11/2012,3/26/1990,,,,,,,,,,,,,,,,,,No
Synchrony Financial,SYF,1601712,"New York Stock Exchange, Inc.",United States,United States,Synchrony Financial,0C0000AM1N,0P00013O7T,,,Credit Services,7/5/2022,28.94,"14,513.09",0.26,3.74,52.49,27.22,0.67,4/29/2022,0.22,,4/21/2022,5/2/2022,5/12/2022,,3.04,,3.04,25.5,19.7,1.22,3/31/2022,7.38,"15,047.00","4,128.00",0.88,US Dollar,Yes,Yes,Financial Services,Other Depository Credit Intermediation,MISCELLANEOUS BUSINESS CREDIT INSTITUTIONS,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Mid Blend,Cyclical,Michael Miller,3/21/2022,Common Stock,,7/31/2014,23,,,,,,,,,,,,,,,,,No
Synopsys Inc,SNPS,883241,Nasdaq - All Markets,United States,United States,Synopsys Inc,0C00000CHW,0P00000591,,,Software - Infrastructure,7/5/2022,302.91,"46,336.22",0.02,47.31,377.6,255.02,0.91,,,"[1995-09-11]	1.000000	2.000000;[2003-09-24]	1.000000	2.000000;",,,,,,,,2.12,3.22,0.56,4/30/2022,6.42,"4,759.03","1,008.56",,US Dollar,Yes,Yes,Technology,;Software Publishers;,;COMPUTER PROGRAMMING SERVICES;;,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,"Abhinav Davuluri, CFA",6/24/2022,Common Stock,5/11/2012,3/3/1992,,,,,,,,,,,,,,,,,,No
Sysco Corp,SYY,96021,"New York Stock Exchange, Inc.",United States,United States,Sysco Corp,0C00000CI7,0P0000059B,,,Food Distribution,7/5/2022,85.2,"43,407.34",0.02,43.66,91.53,68.05,1.05,6/30/2022,0.49,"[1973-01-15]	4.000000	5.000000;[1979-06-22]	2.000000	3.000000;[1980-12-23]	2.000000	3.000000;[1982-06-28]	1.000000	2.000000;[1986-03-31]	1.000000	2.000000;[1989-10-18]	1.000000	2.000000;[1992-06-22]	1.000000	2.000000;[1998-03-23]	1.000000	2.000000;[2000-12-18]	1.000000	2.000000;",4/28/2022,7/1/2022,7/22/2022,,2.23,,2.3,2.28,5.03,-1.3,3/31/2022,1.94,"65,815.78",999.87,1.88,US Dollar,Yes,Yes,Consumer Defensive,;;Packaged Frozen Food Merchant Wholesalers;,;;PACKAGED FROZEN FOODS;,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Foods,,Large Blend,Slow Growth,"Rebecca Scheuneman, CFA",5/11/2022,Common Stock,,1/20/1981,,,,,,,,,,,,,,,,,,No
T. Rowe Price Group Inc,TROW,1113169,Nasdaq - All Markets,United States,United States,T. Rowe Price Group Inc,0C00000CIA,0P0000059E,,,Asset Management,7/5/2022,117.08,"26,611.89",0.11,9.19,224.56,104.72,0.76,6/14/2022,1.2,"[1990-01-02]	1.000000	2.000000;[1993-12-01]	1.000000	2.000000;[1996-05-01]	1.000000	2.000000;[1998-05-01]	1.000000	2.000000;[2006-06-26]	1.000000	2.000000;",5/10/2022,6/15/2022,6/29/2022,,3.89,,4.1,10.56,9.38,1.54,3/31/2022,12.36,"7,708.10","2,901.40",4.44,US Dollar,Yes,Yes,Financial Services,;Investment Advice;;,;INVESTMENT ADVICE;;,,,,,,Financial Services,Investment Banking & Brokerage,Asset management & custodian,,Mid Value,Cyclical,"Greggory Warren, CFA",5/19/2022,Common Stock,5/11/2012,4/9/1986,,,,,,,,,,,,,,,,,,No
Take-Two Interactive Software Inc,TTWO,946581,Nasdaq - All Markets,United States,United States,Take-Two Interactive Software Inc,0C00000CIG,0P000005AS,,,Electronic Gaming & Multimedia,7/5/2022,127.04,"20,578.21",0.03,34.23,195.83,101.85,0.64,,,"[2005-04-12]	2.000000	3.000000",,,,,,,,2.82,3.71,1.75,3/31/2022,3.58,"3,504.80",418.02,,US Dollar,Yes,Yes,Communication Services,Software Publishers,PREPACKAGED SOFTWARE,,,,,,Technology,Information Technology,Electronic entertainment,,Mid Growth,Classic Growth,"Neil Macker, CFA",3/25/2022,Common Stock,5/11/2012,4/14/1997,,,,,,,,,,,,,,,,,,No
Tapestry Inc,TPR,1116132,"New York Stock Exchange, Inc.",United States,United States,Tapestry Inc,0C00000AL0,0P000001BL,,,Luxury Goods,7/5/2022,31.34,"7,891.49",0.1,9.78,47.05,26.39,0.59,6/2/2022,0.25,"[2002-07-05]	1.000000	2.000000;[2003-10-02]	1.000000	2.000000;[2005-04-05]	1.000000	2.000000;",5/11/2022,6/3/2022,6/27/2022,,3.19,,3.19,9.96,13.08,1.69,3/31/2022,3.12,"6,675.00",867.3,0.75,US Dollar,Yes,Yes,Consumer Cyclical,Women's Handbag and Purse Manufacturing,WOMEN'S HANDBAGS & PURSES,,,,,,Consumer Discretionary,Consumer Products,Textiles apparel and shoes,,Mid Value,Cyclical,David Swartz,5/23/2022,Common Stock,,10/5/2000,,,,,,,,,,,,,,,,,,No
Target Corp,TGT,27419,"New York Stock Exchange, Inc.",United States,United States,Target Corp,0C00000CIT,0P000005B5,,,Discount Stores,7/5/2022,145.71,"67,565.20",0.08,11.68,268.98,137.16,0.85,8/16/2022,1.08,"[1981-12-01]	1.000000	2.000000;[1983-07-25]	1.000000	2.000000;[1996-07-18]	1.000000	3.000000;[1998-05-01]	1.000000	2.000000;[2000-07-20]	1.000000	2.000000;",6/9/2022,8/17/2022,9/10/2022,,2.47,,2.96,8.3,6.57,2.34,4/30/2022,12.09,"106,978.00","5,858.00",3.38,US Dollar,Yes,Yes,Consumer Defensive,;All Other General Merchandise Stores;;,;VARIETY STORES;,,,,,,Consumer Discretionary,Retail,Diversified retail,,Large Blend,Aggressive Growth,"Zain Akbari, CFA",5/19/2022,Common Stock,,4/6/1983,,,,,,,,,,,,,,,,,,No
TE Connectivity Ltd,TEL,1385157,"New York Stock Exchange, Inc.",United States,United States,TE Connectivity Ltd,0C00000Q1P,0P0000944J,,CH0102993182,Electronic Components,7/5/2022,111.47,"36,877.71",0.07,14.95,166.44,107.12,0.89,2/16/2023,0.56,,3/9/2022,2/17/2023,3/3/2023,,1.85,,2.01,6.79,7.15,0.42,3/31/2022,7.56,"15,488.00","2,500.00",2,US Dollar,Yes,Yes,Technology,Other Electronic Component Manufacturing,"ELECTRONIC COMPONENTS, N.E.C.",,,,,,Technology,Electronics,Electronic components,,Large Blend,,William Kerwin,6/15/2022,Common Stock,,6/14/2007,,,,,,,,,,,,,,,,,,No
Teledyne Technologies Inc,TDY,1094285,"New York Stock Exchange, Inc.",United States,United States,Teledyne Technologies Inc,0C00000CKK,0P000005CT,,,Scientific & Technical Instruments,7/5/2022,379.74,"17,788.11",0.03,30.55,493.97,344.66,,,,,,,,,,,,3.23,,0.03,3/31/2022,12.28,"5,129.60",573.2,,US Dollar,Yes,Yes,Technology,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur;;","SEARCH, DETECTION, NAVIGATION, & GUIDANCE DEVICES;;",,,,,,Producer Durables,Transportation & Freight,Aerospace,,Mid Growth,Classic Growth,,,Common Stock,,11/23/1999,,,,,,,,,,,,,,,,,,No
